,precision,recall,f1-score,support
COVID19,0.9827586206896551,0.9827586206896551,0.9827586206896551,116.0
NORMAL,0.9054878048780488,0.9369085173501577,0.9209302325581395,317.0
PNEUMONIA,0.9774881516587678,0.9649122807017544,0.9711595055915244,855.0
accuracy,0.9596273291925466,0.9596273291925466,0.9596273291925466,0.9596273291925466
macro avg,0.9552448590754906,0.9615264729138557,0.958282786279773,1288.0
weighted avg,0.9602422389864814,0.9596273291925466,0.9598418175478911,1288.0
